Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2BK120ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
NTRK2_chr9_87285829	0.227029072	14.3443543204	14.4628425658	0	-5.6556456796	2_PromU	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0
KCNE1L_chrX_108868186	3.073354596	95.5883236751	95.9355181367	87	91.29416183755	22_PromP	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
GPR112_chrX_135405025	0	20.2979585862	20.579335985	0	0.2979585862	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGER1_chr19_14585023	0.158403295	96.5363033328	96.8245926812	0	76.5363033328	24_ReprPC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK6_chr7_92462589	7.117248705	88.7524431373	89.3602218699	71	79.87622156865	3_PromD1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1
GPRC6A_chr6_117127536	0.26889752	30.6910027288	31.2063482541	48	39.3455013644	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEV_chr2_219846915	2.355542003	70.258672976	71.0551112093	0	50.258672976	23_PromBiv	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
PKD1L3_chr16_72020225	1.955577016	67.4144021674	68.2232116272	33	50.2072010837	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GABRG1_chr4_46060576	0.266453504	48.676401239	49.4082346753	63	55.8382006195	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP1_chr3_71247439	4.462659381	81.2160583204	81.9477192271	60	70.6080291602	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD27_chr12_6559446	1.834504294	90.7207056735	91.2756862656	51	70.86035283675	16_EnhW1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
PIK3R1_chr5_67522711	0.168833361	1.09594132267	1.00758855447	0	-18.90405867733	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5AR2_chr19_47844066	0.269784173	67.2886365958	68.0967235266	0	47.2886365958	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYLD_chr16_50783723	0.212636695	20.3162832679	20.5990151632	0	0.316283267900001	8_TxWk	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1B_chr16_23364263	0.145273425	32.5639916687	33.0939033321	0	12.5639916687	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
